Full Name,Title,Diversity Flag,Firm,Type,Location,Crunchbase URL,LinkedIn URL
Zoe Feldman,Managing Director,Female,[object Object],"{""valuesByForeignRowId"":{""recOnwTr957wFaA9G"":[""Venture Capital""]},""foreignRowIdOrder"":[""recOnwTr957wFaA9G""]}","New York, NY",https://www.crunchbase.com/person/zoe-feldman,https://www.linkedin.com/in/zoe-feldman-394a606/
Claudia Iannazzo,Managing Partner & Co-Founder,Female,[object Object],"{""valuesByForeignRowId"":{""recyvLO8v9A5WzQOB"":[""Venture Capital""]},""foreignRowIdOrder"":[""recyvLO8v9A5WzQOB""]}","New York, NY",https://www.crunchbase.com/person/claudia-iannazzo,https://www.linkedin.com/in/claudiaiannazzo
Lemuel Amen,Managing Partner,PoC,[object Object],"{""valuesByForeignRowId"":{""reccYcVdsDzp7hP58"":[""Venture Capital""]},""foreignRowIdOrder"":[""reccYcVdsDzp7hP58""]}","Detroit, MI",https://www.crunchbase.com/person/lemuel-amen,https://www.linkedin.com/in/lemamen/
Dana Eli Lorch,Managing Director,Female,[object Object],"{""valuesByForeignRowId"":{""recY8Mgus3m3QnWtE"":[""Venture Capital""]},""foreignRowIdOrder"":[""recY8Mgus3m3QnWtE""]}","New York, NY",https://www.crunchbase.com/person/dana-lorch,https://www.linkedin.com/in/dana-eli-lorch-63139831/
Julia Huang,Managing Director,Female,[object Object],"{""valuesByForeignRowId"":{""recY8Mgus3m3QnWtE"":[""Venture Capital""]},""foreignRowIdOrder"":[""recY8Mgus3m3QnWtE""]}","New York, NY",https://www.crunchbase.com/person/julia-huang-3,https://www.linkedin.com/in/julia-huang-3aa71a2/
Lindsay Fitzgerald,Managing Director,Female,[object Object],"{""valuesByForeignRowId"":{""recY8Mgus3m3QnWtE"":[""Venture Capital""]},""foreignRowIdOrder"":[""recY8Mgus3m3QnWtE""]}","New York, NY",https://www.crunchbase.com/person/lindsay-fitzgerald,https://www.linkedin.com/in/lindsayfitzgerald/
Sue Xu,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""rec5bXU1YeeL6rJDh"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec5bXU1YeeL6rJDh""]}","San Francisco, CA",https://www.crunchbase.com/person/sue-xu,https://www.linkedin.com/in/suexu/
Angela Strange,General Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recz502O6dMrS3QCw"":[""Venture Capital""]},""foreignRowIdOrder"":[""recz502O6dMrS3QCw""]}","San Francisco, CA",https://www.crunchbase.com/person/angela-strange,https://www.linkedin.com/in/angelastrange/
Connie Chan,General Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recz502O6dMrS3QCw"":[""Venture Capital""]},""foreignRowIdOrder"":[""recz502O6dMrS3QCw""]}","San Francisco, CA",https://www.crunchbase.com/person/connie-chan-2,https://www.linkedin.com/in/conniechan/
Jorge Conde,General Partner,PoC,[object Object],"{""valuesByForeignRowId"":{""recz502O6dMrS3QCw"":[""Venture Capital""]},""foreignRowIdOrder"":[""recz502O6dMrS3QCw""]}","Menlo Park, CA",https://www.crunchbase.com/person/jorge-conde-2,https://www.linkedin.com/in/jorge-conde-4099225/
Katie Haun,General Partner,Female,[object Object],"{""valuesByForeignRowId"":{""recz502O6dMrS3QCw"":[""Venture Capital""]},""foreignRowIdOrder"":[""recz502O6dMrS3QCw""]}","San Francisco, CA",https://www.crunchbase.com/person/kathryn-haun,https://www.linkedin.com/in/kathryn-haun-0791456/
Amy Nauiokas,Managing Partner,Female,[object Object],"{""valuesByForeignRowId"":{""rec4UwamRjkRv33AR"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec4UwamRjkRv33AR""]}","New York, NY",https://www.crunchbase.com/organization/anthemis-group,https://www.linkedin.com/in/amynauiokas/
Samantha Ghiotti,Partner,Female,[object Object],"{""valuesByForeignRowId"":{""rec4UwamRjkRv33AR"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec4UwamRjkRv33AR""]}",,,
Jan Garfinkle,Founder & Managing Director,Female,[object Object],"{""valuesByForeignRowId"":{""recI2GQLhEKrU4oOu"":[""Venture Capital""]},""foreignRowIdOrder"":[""recI2GQLhEKrU4oOu""]}","Detroit, MI",https://www.crunchbase.com/person/jan-garfinkle,https://www.linkedin.com/in/jan-garfinkle-827330
Kristina Burow,Managing Director,Female,[object Object],"{""valuesByForeignRowId"":{""rec2Opld3O2eWp4wc"":[""Venture Capital""]},""foreignRowIdOrder"":[""rec2Opld3O2eWp4wc""]}","San Francisco, CA",https://www.crunchbase.com/person/kristina-burrow,http://www.linkedin.com/pub/kristina-burow/b/836/4a8
