VC Firm,Stage,New meetings?,New terms sheets?,Areas of Interest,Check Size,Lead/Co-invest,Notes,Location,Last Modified
208 Seed Ventures,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,,,,,"Columbia, Missouri, United States",2020-05-05T17:27:02.000Z
Shasta Ventures,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,Smart software for enterprise,,,,"San Francisco, California, United States",2020-05-05T17:27:34.000Z
Chrometec Capital,,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,"Biotechnology, Cannabis, CleanTech, Cloud Computing, Cyber Security, Life Science, Sustainability,",,,Looking at companies that have shown a clear product-market fit,"London, England UK",2020-05-05T18:47:25.000Z
Chapter One,Seed,Taking new meetings,Offering new term sheets,,,,,"Los Angeles, California, United States",2020-05-05T18:48:03.000Z
Lightspeed Venture Partners,"Seed, Series A, Series B, Series C",Taking new meetings,Offering new term sheets,,,,,"Menlo Park, CA, United States and Global (Israel, China, India, Europe, Singapore)",2020-05-06T00:26:42.000Z
Launch Tennessee,Pre-Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,Only invest in TN based companies,$25k-$150k,Co-Invest,,Tennessee,2020-05-06T15:02:45.000Z
Overline,Seed,Taking new meetings,Offering new term sheets,Focused on founders in Atlanta and the Southeast,,Lead,,,2020-05-06T15:03:47.000Z
E14 Fund,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,,$500k-$1M,,Supports companies across diverse fields—from biotechnology and smart cities to consumer electronics and manufacturing. They are a bridge that builds entrepreneurs from MIT and creates the paths to connect them with investors and industry experts who can help them scale.,"Boston, MA, United States",2020-05-06T15:06:49.000Z
Fitz Gate Ventures,Seed,Taking new meetings,Offering new term sheets,Fitz Gate Ventures invests a majority of its capital in companies from the Princeton ecosystem and a portion more broadly.,,,,"Houston, Texas, United States",2020-05-06T15:09:57.000Z
XFactor Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,XFactor Ventures is focused on making pre-seed and seed stage investments in companies with billion dollar market opportunities that have at least one female founder.,,,,"Boston, MA, United States",2020-05-06T15:15:35.000Z
Intelis Capital,Seed,Taking new meetings,Offering new term sheets,Support founders who are working to solve problems in the largest industries that shape our everyday lives,,,,"Dallas, Texas, United States",2020-05-06T19:52:41.000Z
LombardStreet Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,They back distributed teams with HQ in Silicon Valley,,,,,2020-05-06T19:55:23.000Z
Firebrand Ventures,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,,,,,"Kansas City, MO, United States",2020-05-06T22:48:55.000Z
Mango Capital,Seed,Taking new meetings,Offering new term sheets,,,,,,2020-05-06T22:51:48.000Z
Benchmark,Seed,Taking new meetings,Offering new term sheets,"mobile, marketplaces, social, and infrastructure and enterprise software",,,,"San Francisco, CA, United States",2020-05-06T22:53:54.000Z
The Group Ventures,"Pre-Seed, Seed",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,"Canadian focused, data driven platform tech companies with B2B and double sided network effect business models poised to have a global impact",,,,"Toronto, Canada",2020-05-07T18:05:25.000Z
Highland Europe,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,Early growth focus (5m+ run rate),,,,"London, England, United Kingdom",2020-05-07T18:07:13.000Z
Brooklyn Capital,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,,,,,,2020-05-07T18:07:37.000Z
DNX Ventures,"Seed, Series A",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,"B2B-focus (Enterprise SaaS, Cybersecurity, Fintech, Retail Tech, and Frontier Tech)",,,,"San Francisco, Tokyo",2020-05-07T18:09:30.000Z
MiLA Capital,"Pre-Seed, Seed",Focusing on current portfolio,Focusing on current portfolio,"climate tech, health tech, hardware, aerospace",,,,"Los Angeles, CA United States",2020-05-07T18:10:21.000Z
DAAL Ventures,"Seed, Series A, Series B",Taking new meetings,Offering new terms sheets in the next 2-4 weeks,IT space,,,,,2020-05-07T21:26:05.000Z
Dream Machine,Pre-Seed,Taking new meetings,Offering new term sheets,,,,,,2020-05-07T23:57:31.000Z
Tech Wildcatters,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,Software focus,,,,"Dallas, TX United States",2020-05-08T15:57:13.000Z
Ubiquity Ventures,Seed,Taking new meetings,Offering new term sheets,,,,,"Palo Alto, CA United States",2020-05-08T15:59:55.000Z
Cleo Capital,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,,,,,"Santa Monica, CA, United States",2020-05-08T16:26:58.000Z
Prudence Holdings,Seed,Taking new meetings,Offering new term sheets,,,,,"New York, New York, United States",2020-05-08T16:28:11.000Z
Point Nine Capital,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,,,,,"Berline, Germany",2020-05-08T16:29:17.000Z
Underdog Labs,"Pre-Seed, Seed",Taking new meetings,Offering new term sheets,,,,,SF and New England,2020-05-08T17:04:42.000Z
Interlace Ventures,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,"Retail, commerce, consumer",$200k-$600k,,,Ney York and SF,2020-05-08T18:22:09.000Z
TDK Ventures,"Seed, Series A, Series B",Taking new meetings,Offering new term sheets,"Health & Wellness, next Generation Transportation, Robotics & Industrial, Mixed Reality, and the wider IoT market",,,,"San Jose, CA United States",2020-05-10T17:05:44.000Z
Venrock,"Pre-Seed, Seed, Series A, Series B",Taking new meetings,Offering new term sheets,technology and healthcare,,,,"Palo Alto, CA, United States",2020-05-10T17:26:33.000Z
Susa Ventures,Seed,Taking new meetings,Offering new term sheets,,,,"strong compounding moats, such as proprietary data, economies of scale and/or network effects","Sa Francisco, CA, United States",2020-05-10T17:30:04.000Z
TenOneTen Ventures,Seed,Taking new meetings,Offering new term sheets,,,,invests in start-ups that apply data and technology to disrupt existing industries.,"Los Angeles, CA, United States",2020-05-10T17:34:46.000Z
Trusk Venture Partners,Seed,Taking new meetings,Offering new terms sheets in the next 2-4 weeks,consumer technology,,,,"New York, New York, United States",2020-05-11T20:42:42.000Z
AiSprouts.vc,"Seed, Series A",Taking new meetings,Offering new term sheets,AI,,,,"San Francisco, California, United States",2020-05-11T20:47:23.000Z
