Full Name,Country,Notable Investments,Investment areas of interest,LinkedIn
Daiva Rakauskaite,Lithuania,,"Healthtech, Femtech.",https://www.linkedin.com/in/daiva-rakauskaite-cfa-886789b/
Dalia Aga-Shaw,United Kingdom,"Monzo, Kuri Saude, Kanjo Health, GrandNanny, Financielle, Juniver, The Lowdown, Tangent, Unfabled","Dalia co-founded 3SV Collective, a London-based angel network pioneering gender-smart investing in venture capital in Europe. 3SV Collective is on a mission to close gender gaps by backing extraordinary entrepreneurs creating tech-enabled solutions that serve the unmet needs of women in FemTech, FinTech, EdTech and Family Tech",https://www.linkedin.com/in/dalia-aga-shaw/
Daniela Esposito,Italy,,,https://www.linkedin.com/in/daniela
Delphine Remy-Boutang ,France,"HStar Space , ONTBO , Pick Me , Captain Cause ",Women - tech - deeptech - space - impact ,https://www.linkedin.com/in/delphineremyboutang
Denise McQuaid,United Kingdom,,,https://www.linkedin.com/in/denisemcquaid/
Dessislava Kovacheva ,Bulgaria,"https://tinusaur.org/, https://blondegonerogue.com/ ",,https://www.linkedin.com/in/dessislava-kovatcheva-25b7061/
Devika Thapar,United Kingdom,"Madefrom.io, Inspektlabs, CureSkin","Deep tech, biotech, climate tech ",https://uk.linkedin.com/in/devikathapar
Diana Biggs,"Switzerland, UK",,"crypto/web3, impact, fintech",
Diana Stafie,Romania,Palmo,,https://www.linkedin.com/in/dianastafie
Diana zur Löwen,Germany ,"Junto, Ostrom, Nelly, Femtasy, Flooz, Fina, Ohia, heyfina","Women Founders, ",https://www.linkedin.com/in/diana-zur-löwen-283a4ab7/
Dilek Dayinlarli,Turkey,,,https://www.linkedin.com/in/dilekdayinlarli/
Dinika Mahtani,United Kingdom,"PeopleMatter, Moody, imVitro",Femtech / Health / Climate,https://www.linkedin.com/in/dinika-mahtani-0a2494158/
Donna Hanafi,Sweden,"Mindmore, ImagiLabs",Consumer,Https://linkedin.com/in/donnahanafi
Doreen Huber,Germany,,,https://www.linkedin.com/in/doreenhuber/
Dr. Jana Hecker,"United Kingdom, Germany ","Gastrofix, Everphone, Spot Ship, Vivira Health Lab, apoQlar, Melli/meetap, Strolll, Remojo, Titan Academy, alphine, GOCOMO, transpaygo, forexfix, N26","SaaS b2b and enterprise software, DTX, NewSpace, FinTech",https://www.linkedin.com/in/jana-hecker-58576311?originalSubdomain=uk
Ebi Atawodi,Netherlands,"Origin, Memri, Shackle",,https://www.linkedin.com/in/ebiatawodi/
Edna Irani-Fey,France,,,
Edwina Johnson,United Kingdom,"Fiat Republic, Rosaly, OPTO, Gravel, Grunfin ","fintech, B2B SaaS, diverse founders, economic empowerment ",https://www.linkedin.com/in/edwinajohnson/
Eileen Burbidge,United Kingdom,"As personal/angel investor (all in last 12 mos): YHANGRY, Honest Mobile, Laylo, Sproutl, Tuune, Ethereal Ventures Fund I LP ",,linkedin.com/in/eileenburbidge
Elaine Groenestein,United Kingdom,,,https://www.linkedin.com/in/elainegroenestein/
Elissa Grey,"Italy, United Kingdom","Hapi, Climate X, Compare Ethics","GreenTech, HealthTech, AgeTech, Femtech",https://www.linkedin.com/in/elissagrey/
Elizabeth Kleinveld,Netherlands ,,,https://www.linkedin.com/in/elizabeth-kleinveld-1493ab/?originalSubdomain=nl
Elizabeth Pauchet,France,,,https://www.linkedin.com/in/elizabeth-pauchet/
Ellen Moeller,UK ,Wequity,,https://www.linkedin.com/in/ellen-moeller-2a85b42b/
Ellie Asgari,United Kingdom,"Fungi Alert, Good Life Sorted, ImproveWell",Heath tech; sustainability,https://www.linkedin.com/in/ellie-asgari-3891079/
Elsa Hermal,"Portugal, France","Yacon & co, Underdog, Lyv, Carbone Farmers, Révolte, re-groop",Impact. Climate. Mental health. Psychedelics. Femtech. Foodtech. Edtech,https://www.linkedin.com/in/elsahermal
Elsa Hyland ,Sweden,"Meela, Mendi ","Healthtech, metal health",https://www.linkedin.com/in/elsahyland/
Emilie (Cavallo) Dellecker,Switzerland,,,
Emma Blackburn,United Kingdom,"Lick Home, Monolith AI, Ascension Ventures, Mobilus Labs, Spoke World, Sxollie, BRB Travel, Nook, Heygo, Rebank Technologies, incuto, Veratrak, The Shellworks, Alacrity Law ",,https://www.linkedin.com/in/emmablackburn1/
Emma Tracey,Germany ,"GraphCMS, Manara, CurveCatch, Faircado",,https://www.linkedin.com/in/emmalouisetracey/
Emmanuèle Attout ,Belgium ,,,https://www.linkedin.com/in/emmanu%C3%A8le-attout-9229748a/
Emmanuelle Brizay,United Kingdom,"Big Mamma, Underdog, Neat.protect, Clever Cards, Kard, Lane Health, Medsaf, Ascendance Flight technologies, XXII,","Consumer, fintech, medtech, AI",https://www.linkedin.com/in/emmanuelle-brizay-2884b3/
Emmie Faust,United Kingdom,"Jude, Babbu, Eric, Me+ Em",,https://www.linkedin.com/in/emmiefaust
Erika Hombert,Sweden,,Food tech and health tech,https://www.linkedin.com/in/erikahombert/
Ersilia Molnar ,United Kingdom,"Ocean Bottle, Conduit Club ",Blue Economy ,http://linkedin.com/in/ersilia-molnar-85a12a
Esther Delignat,United Kingdom,Claap,,https://www.linkedin.com/mwlite/in/estherdlr
Esther Reynal de Saint Michel,United Kingdom,"Bea Fertility, MyMynd, Slip, DemDx","MedTech, Healthcare",https://www.linkedin.com/in/esther-richardot-reynal-de-st-michel
Eva Spannagl,Germany ,"Root Global, Sikoia, Deeploi, Moss","B2B Saas, Fintech",https://www.linkedin.com/in/evaspannagl/
Eva Tarasova ,United Kingdom,"Simba, edgify, wise, Kair ","Consumer, biotech, deeptech, underlying theme of ‘below the waste, above the knee’ ",http://linkedin.com/in/eva-t-a8a2b21a
Evelina Anttila,Sweden,,,https://www.linkedin.com/in/evelinaanttila
Evelyn Bourke,United Kingdom,,,https://www.linkedin.com/in/evelyn-bourke/
Evelyn Simpson,United Kingdom,Neatebox,,
Evgenia Plotnikova,United Kingdom,"Testgorilla, wisenoze, block party","Ed Tech, health tech, climate tech, future of work, new social tech ",https://www.linkedin.com/in/evgeniaplotnikova
Fabiola Hochkirchen,Germany,,,
Fausta Pavesio,Italy,,,https://www.linkedin.com/in/faustapavesio/
Fiona Pathiraja,"Denmark, United Kingdom","Daye, Inne, Olivia, The Blood, Ferly, Wild AI","health, sextech",https://www.linkedin.com/in/fionapathiraja/
Florence Richardson and Cecile Bassot,France,"Soan, Jubiles, Neta, Urbassist",Female founders,https://www.femmesbusinessangels.org/
Francesca Fiore,Italy,FlexiWAN,,https://www.linkedin.com/in/ffiorx/
Gabriela Orille,Spain,"onyze, hannun, gastrocult, n-vans","fintech, consumer, organic",https://www.linkedin.com/in/gabrielaorille/
Gemma Bloemen,United Kingdom,"Fertility Circle,  Exakt Health, The Shellworks, Untanglegrief.com","Marketplaces, Health tech, Agetech and sustainability.",https://www.linkedin.com/in/gemmabloemen/
Georgie Smallwood,Germany ,"HeyFina, remi.so, Oviavo, Sudor.fit, menta",Women founders,https://www.linkedin.com/in/georginasmallwood/?originalSubdomain=de
Gina Kirch,United Kingdom,,,https://www.linkedin.com/in/ginakirch/
Gloria Baeuerlein,Germany,"Sofia Salud, Datapeople, Pigment, Planetly, Soda, Fiberplane, Quine, Tagr, Remi, Exakt Health","B2B SaaS, Digital Health, Fintech",https://www.linkedin.com/in/gloria-baeuerlein-8b166010/
Gloria Monfrini,United Kingdom,,,https://www.linkedin.com/in/gloriamonfrini/
Grace Cassy,United Kingdom,"Immersive Labs, Tessian, SlashID, Utila, Treeconomy, Spexi","Security, privacy, blockchain, AI",https://www.linkedin.com/in/graceacassy/
Hailey Eustace,United Kingdom,"Wild.AI, PHINXT Robotics, Stealth Climate startup, Pal. ",Deep tech and health tech,www.linkedin.com/in/haileyeustace
Hanadi Jabado,UK ,"Feebris, Flit, Qureight ",HealthTech,https://www.linkedin.com/in/hanadijabado
Hande Enes,Turkey," Appsilon,Servissoft,Webrazzi, Finedine, Menapay and 40 more startups. ",,https://www.linkedin.com/in/hande-enes-77b7ab155/
Hanisha Vaswani,Germany,,,https://www.linkedin.com/in/hanishavaswani/
Hannah Leach,United Kingdom,Orbiit,"Fin-tech, Impact tech",https://www.linkedin.com/in/hannahleach/
Heidi Aven ,Norway,"Fjong, Lendonomy, indy riot, visonomic ","Fintech, female Founders, diversity",https://no.linkedin.com/in/heidiaven
Helene Guillaume,United Kingdom,"Tell app, Causalens, Hey Jane, Precisely",femtech consumer deeptech AI,https://www.linkedin.com/in/heleneguillaume/
Helene Lepetit-Rontani,France,"Ecotable,  beeguard, Wenow, vestack, vufbikes, biomere jubiles, atelier unes, château cazebonne",Following sectors but exclusvely for impact investment: Agriculture food transportation fashion,https://www.linkedin.com/in/helene-lepetit-rontani
Ieva Zubavicoute,United Kingdom,"Good On You, The Knotty Ones, Common Objective","Impact, fashiontech, femtech, sustainable innovation",https://uk.linkedin.com/in/ieva-zubaviciute
Ilaria Fava,Italy,"Georadio (Loquis), Big profiles, v-nova, hotbox ",No,http://linkedin.com/in/ilaria-fava-fava
Ilaria Occhiolini,"France, United Kingdom",,,http://linkedin.com/in/ilaria-occhiolini-9392b1119
Ilinca Păun,Romania,"Bright Spaces, Flip",,https://ro.linkedin.com/in/ilinca-paun-01385b37
Irene Boni,Italy,"Ricehouse, Pep-Therapy, Renoon, Mixcycling, C4Legal, Factanza",Lifescience and Sustainability ,https://www.linkedin.com/in/ireneboni
Isabel Gaspar Pereira,Portugal,Hunter boards,Impact,https://www.linkedin.com/in/isabelgasparpereira/
Isla Munro-Hochmayr,Switzerland,"Roleshare, Gathrer, ETHLend aka AAVE, Productboard, Original Trail aka TRAC","future of work, education, health, sustainable living and media",www.linkedin.com/in/islamunro
Jaana Goeggel,Switzerland,"Calingo, Neur.on",FinTech RetailTech and Digital Health,https://www.linkedin.com/in/jaana-goeggel-769175
Jamisen Jenkins,Germany,"Ascension Ventures, GoHenry, WiseAlpha, MyWave, Tend, Booktrack, The Clinician, Farillio, Elemendar, Playmob, Recycling Technologies, Crowdcube, Sxollie, iDefigo, Mush, Seedrs, Syndicate Room","Fintech, female founders, impact investing",https://www.linkedin.com/in/jami-jenkins-84914781/
Jane Walerud,Sweden,,,www.linkedin.com/in/janewalerud
Jannat Shah Rajan,United Kingdom,"YHangry, InChorus, Dai, HANX",Everything but FinTech,https://www.linkedin.com/in/jannatshah
Janouk Kloosterboer,Netherlands ,"Alpha.One, Cloudprinter, Hodl.nl, Hut8, Planet.Quest, (and several others through their family office)",Tech / Tech for good / Impact Investment,https://www.linkedin.com/in/janouk-kloosterboer-24850149
Jill Goodman,France,"Sungod ,The Uncommon, IXO ,Oxford Bioeletronics, ID Theory,Cosmic Dealer, Plandome Development",,https://www.linkedin.com/in/jill-goodman-14708a129/
Jo Dalton,United Kingdom,"SignoftheTimes, Monk, Ayda, WONE, Lupii, Life Supplies and more...","Female founders, sustainability, health and wellness and tech for good",https://www.linkedin.com/in/jodalton1/
Joanna Törngren Redebrant,Sweden,Meta Inifinity Digital AB,,
Johanna von Herman-Kim,Germany ,,"Ed-tech, consumer-tech, marketplaces",https://www.linkedin.com/in/johanna-von-herman-kim-26302019b/
Jolanda Degen,Netherlands,,,https://www.linkedin.com/in/jolanda-degen-6975017a/
Joo Sundström,Sweden,"Tilly, Ella",Femtech,https://www.linkedin.com/in/joosundstrom/
Julia Baldet,United Kingdom,"Kimaï, Konvi, The Edit LDN","Consumer, luxury, wellness, ecommerce, tech",https://www.linkedin.com/in/julia-baldet-49a74aa4/?originalSubdomain=uk
Julia Dous,Germany,"Fabit (2021), Unea (2021), Apryl (2021), Smart Female Ventures (2021), EqualTime (2022), Vektor (2022), SageWealth (2022), Ride Capital (2022)",At least one of the cofounders should be female,https://www.linkedin.com/in/julia-dous/
Julia Morrongiello,United Kingdom,"Alpher, Bunch Capital, Hello Cash, Payable, Turnkey, Gyro Finance",Fintech and crypto ,https://www.linkedin.com/in/juliamorrongiello/
Justina Banyte,"Norway, Lithuania","Okredo, Votemo, FLXBL","Fintech, Edtech",https://www.linkedin.com/in/justinabanyte/
Justina Chung,United Kingdom,"MVPR, ByRotation, Figures, Zappi","B2B SaaS, B2C SaaS, B2B Marketplaces, Consumer",https://www.linkedin.com/in/justina-chung/
Katharina Juenger,Germany ,"Aware, fides, zavvy, nuwo, ivy, nuumi","B2B Saas, future of work, healthcare",https://www.linkedin.com/in/katharina-juenger/
Katherine Ireland,United Kingdom,,,https://www.linkedin.com/in/katherineireland/
Katia Yakovleva,"Germany, Portugal","Passionfroot, Frequle.io, Chroma","CreativeTech, Female founders",https://www.linkedin.com/in/katiayakovleva/
Katja Ruhnke,Germany,"SKYSEED, whyzzer, upStrive",Edtech and medtech,
Katja Toropainen,Finland,,,https://www.linkedin.com/in/katjatoropainen/
Kerstin Bock,Germany ,"Hier Foods, One.Five, The Climate Choice, Metta Space","food tech, climate tech, deep tech, and anything around the future of community building + media, and of course: diverse founding teams",
Kiana Mardi,Germany ,"Fraud0, owwn, informed ","Climatetech, edutech, Digital Health, Future of Work, inclusion, financial health, impact",https://www.linkedin.com/in/kianamardi
Kim Morrish,United Kingdom,,,https://www.linkedin.com/in/kim-morrish-363390a/
Kiran Sharma,United Kingdom,,"Wellness, health services, pharma services, device ",https://uk.linkedin.com/in/kiran-sharma-98800511
Kirsten Connell,United Kingdom,,,https://www.linkedin.com/in/kirstenconnell/
Kirsti Chou,United States,"Vaayu, Shellworks, Sylvera, Evergrow, Mast (formerly DroneSeed), Noya, Heirloom, Etho Capital, NovaMeat, Quaise, Harvest Thermal, Dispatch Goods, Alga Biosciences, Natilus, Impossible Metals.",climate tech,https://www.linkedin.com/in/kirstichou/
Lara Nuchowicz,Netherlands,"Tia, Cue, Pivot Bio, Daily Harvest, Helaina, Fig beauty, Hally Hair, Partake, Gourmey, La Vie, Bon Vivant, Reglo, Sourse, The Serioud Gut, FUL food, Nowadays, Melibio…","Foodtech, consumer health, femtech",https://www.linkedin.com/in/lara-nuchowicz-660a9966
Lara Rouryes,France,"Jeudimerci, Shapr ",,
Laura Connolly,"United Kingdom, France","Lone Design Club, Uspaah, Common Objective ","Consumer, sustainability, impact ",https://www.linkedin.com/in/laura-c-8a981683
Laura Roguet,France,,,https://www.linkedin.com/in/laura-roguet-60253922/
Lavanya Raja,United Kingdom,"Opensea, Nettle Labs, ByteBeam ","Technology, Impact ",http://linkedin.com/in/lavanya-r-80388916
Lea-Sophie Cramer,Germany,,,https://www.linkedin.com/in/lea-sophie-cramer/
Leena Niemistö,Finland,,,https://www.linkedin.com/in/leena-niemist%C3%B6-01658924/
Lian Michelson ,United Kingdom,"Ready Burger, Cocoli, one.five, Shift, Wise ","Impact, sustainability, circular economy, biotech, food tech (alternative proteins and materials)",http://linkedin.com/in/lian-michelson
Lily Joo,Spain,,,https://www.linkedin.com/in/lilyjoo/
Lin Gong-Deutschmann,Sweden,"Repath, Kerith, Ada Health, Smartex, Kula","Applied AI, Data first companies ",https://www.linkedin.com/in/lin-gong-deutschmann
Lindsay Scott,United Kingdom,"FungiAlert, Pawprint, NatureMetrics",Climate Change,https://www.linkedin.com/in/lindsay-scott-08937483/
Linn-Cecilie Linnemann,Norway,"Lendonomy, visonomic, indy riot, fjong ","Fintech, impact Investment ",https://no.linkedin.com/in/linncecilie
Lisa Enckell,Sweden,,,https://www.linkedin.com/in/enckelli/
Lisa Gradow,Germany ,"Parkdepot, Paretos, Kinetiks, Predium, Kertos.","B2B SaaS, GenZ, LegalTech",https://www.linkedin.com/in/lisa-gradow
Lois Day,United Kingdom,"Kanjo Health, GrandNanny, Financielle, Juniver, The Lowdown, Tangent, Unfabled, Oxa, Bramble Energy","Lois co-founded 3SV Collective, a London-based angel network pioneering gender-smart investing in Venture Capital in Europe. 3SV Collective is on a mission to close gender gaps by backing extraordinary entrepreneurs creating tech-enabled solutions that serve the unmet needs of women in FemTech, FinTech, EdTech and Family Tech",https://www.linkedin.com/in/lois-day/
Lorraine Strauss,France,"Néolithe, Trilobe, Interstellar Lab, Underdog, Socrate, Kumo, Cearitis, Yacon & co","DeepTech & Industry, Impact : Climate, Food, Health, Education",https://www.linkedin.com/in/lorraine-strauss-60640768/
Louise Samet,Sweden,,,https://www.linkedin.com/in/louisesamet/
Lucero Tagle,United Kingdom,"NextUp Comedy, YUTYBAZAR, Digme, Rooftop Cinemas","Femtech, Edtech, Sustainability, cutting edge technology, underrepresented founders",https://www.linkedin.com/in/lucerotagle
Lucie Poisson,Germany ,"Landscape/OpenScout, SpotOn, Dotfile, Guud","SaaS, EdTech, Mobility, FemTech",https://www.linkedin.com/in/lucie-poisson-lp/
Luisa Alemany,United Kingdom,,,https://www.linkedin.com/in/luisa-alemany-46902419b
Luise Ammerschuber,Switzerland,,Impact,https://www.linkedin.com/in/luiseammerschuber
Lurdes Gramaxo,Portugal,"Defined Crown, Casafari, Didimo, Colvin, Psious, Impress, Ritmo, Kubbo, Probely, Frenetic, Wezzie, etc.","Digital, Life Science, Clean Energy, Information Technologies and Marketplaces",https://pt.linkedin.com/in/lurdes-gramaxo-12856bba
Maarit Gockel,Finland,,,https://www.linkedin.com/in/maarit-gockel-35291317
Machela Sathekga,United Kingdom,"FungiAlert, Yonder, TrustElevate","Fintech, Agtech, Edtech",http://linkedin.com/in/machelasathekga
Magdalena Gräff,Sweden,"Leia, Finch, AmbiCare, Medarca, Ommej",,https://www.linkedin.com/in/magdalena-gr%C3%A4ff-1391047/
Malene Enö,Denmark,,Climate and female health ,https://www.linkedin.com/in/malenoe/
Mali M Baum,Germany,,,https://www.linkedin.com/in/mali-m-baum-0353b027/
Maren Hjorth Bauer,Norway,,,
